Query_ID,Hit_ID,Hit_Description,Identity_%,Coverage_%,E_value,Confidence,AMR_Status
WP_000067115.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000067127.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000067349.1,gnl|BL_ORD_ID|2644,gb|ADZ12699.1|ARO:3005091|RanA [Riemerella anatipestifer RA-GD] ,27.98,45.85,4.35378e-25,Weak,Possible
WP_000068176.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000068617.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000069101.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000069282.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000070653.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000070811.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000070826.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000070866.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000070966.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000071351.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000071901.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000072147.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000072278.1,gnl|BL_ORD_ID|4712,gb|CYF42523.1|ARO:3004047|kdpD [Staphylococcus aureus] ,98.76,100.0,0.0,Strong,Yes
WP_000072444.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000072576.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000072584.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000072681.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000073184.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000073195.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000073352.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000073389.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000073898.1,gnl|BL_ORD_ID|2644,gb|ADZ12699.1|ARO:3005091|RanA [Riemerella anatipestifer RA-GD] ,27.14,82.35,6.05957e-19,Weak,Possible
WP_000074007.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000074048.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000075703.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000076036.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000076404.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000076661.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000076690.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000076929.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000077318.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000077344.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000077571.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000078092.1,gnl|BL_ORD_ID|443,gb|AAV85982.1|ARO:3000535|macB [Neisseria gonorrhoeae] ,38.46,91.05,3.87123e-37,Weak,Possible
WP_000079317.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000079447.1,gnl|BL_ORD_ID|443,gb|AAV85982.1|ARO:3000535|macB [Neisseria gonorrhoeae] ,34.42,75.97,6.92064e-23,Weak,Possible
WP_000080028.1,gnl|BL_ORD_ID|745,gb|AAA65953.1|ARO:3002919|vanR_in_vanA_cl [Enterococcus faecium] ,42.24,99.15,1.26601e-61,Strong,Yes
WP_000080557.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000081237.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000081602.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000082539.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000082559.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000082731.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000083807.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000084780.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000084829.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000087107.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000087388.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000087561.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000088195.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000088431.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000088648.1,gnl|BL_ORD_ID|4799,gb|QXM27671.1|ARO:3007848|NWM-1 [Pseudomonas aeruginosa] ,33.33,23.68,8.50754e-06,Weak,Possible
WP_000088722.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000089941.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000090315.1,gnl|BL_ORD_ID|1920,gb|AAF01499.1|ARO:3000193|tet(T) [Streptococcus pyogenes] ,27.31,98.27,4.61799e-88,Weak,Possible
WP_000090512.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000090796.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000091445.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000091732.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000091975.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000093349.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000093392.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000094576.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000094899.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000095327.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000097322.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000097462.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000098285.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000101288.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000101538.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000101625.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000101976.1,gnl|BL_ORD_ID|1977,gb|BAE85478.1|ARO:3003728|vanR_in_vanI_cl [Desulfitobacterium hafniense Y51] ,44.4,99.57,6.53645e-67,Strong,Yes
WP_000102735.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000105070.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000106141.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000106185.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000106330.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000108667.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000109906.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000109968.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000110011.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000110023.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000110157.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000110253.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000110603.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000111118.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000113262.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000113851.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000113974.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000114229.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000115564.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000116224.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000116417.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000118287.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000120104.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000120307.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000120368.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000120500.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000120549.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000121116.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000121875.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000122340.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000122374.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000122620.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000123165.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000123393.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000124353.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000124775.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000125708.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000127573.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000127593.1,gnl|BL_ORD_ID|1510,gb|ABA71733.1|ARO:3002972|vanT_in_vanG_cl [Enterococcus faecalis] ,27.3,99.45,1.52944e-23,Weak,Possible
WP_000127982.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000128366.1,gnl|BL_ORD_ID|1759,gb|BAA15221.2|ARO:3000263|marA [Escherichia coli str. K-12 substr. W3110] ,24.47,13.41,3.34594e-07,Weak,Possible
WP_000128656.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000128898.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000129063.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000129411.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000129653.1,gnl|BL_ORD_ID|4721,gb|MCO7070877.1|ARO:3007433|almE [Vibrio cholerae] ,28.07,75.67,3.1471e-33,Weak,Possible
WP_000130149.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000130454.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000130765.1,gnl|BL_ORD_ID|4764,gb|AAK99775.1|ARO:3000614|mef(E) [Streptococcus pneumoniae R6] ,25.8,100.25,8.91724e-14,Weak,Possible
WP_000131383.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000131830.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000132194.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000132890.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000133954.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000134232.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000134528.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000134545.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000134765.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000134779.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000134963.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000136020.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000136166.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000136253.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000136500.1,gnl|BL_ORD_ID|654,gb|AAP15294.1|ARO:3002675|catB2 [Pasteurella multocida] ,41.33,37.69,6.26377e-16,Weak,Possible
WP_000136636.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000136950.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000137775.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000138214.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000138351.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000138413.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000138475.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000138486.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000138648.1,gnl|BL_ORD_ID|1980,gb|AKA86814.1|ARO:3003746|optrA [Enterococcus faecalis] ,24.81,94.04,9.17279e-21,Weak,Possible
WP_000138932.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000139189.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000139712.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000140050.1,gnl|BL_ORD_ID|2644,gb|ADZ12699.1|ARO:3005091|RanA [Riemerella anatipestifer RA-GD] ,30.57,63.61,2.86013e-29,Weak,Possible
WP_000140176.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000140679.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000141108.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000141180.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000141414.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000141942.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000141982.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142033.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142036.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142049.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142094.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142145.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142176.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000142189.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000143419.1,gnl|BL_ORD_ID|1205,gb|AAC75429.1|ARO:3000833|evgS [Escherichia coli str. K-12 substr. MG1655] ,26.59,85.42,3.81168e-09,Weak,Possible
WP_000143503.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000143623.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000143642.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000145163.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000145499.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000145555.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000146745.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000147094.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000147103.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000148333.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000148605.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000148828.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000148855.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149064.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149257.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149295.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149344.1,gnl|BL_ORD_ID|297,gb|AAR84672.1|ARO:3002925|vanR_in_vanF_cl [Paenibacillus popilliae ATCC 14706] ,42.22,98.68,1.30345e-61,Strong,Yes
WP_000149404.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149423.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149503.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000149686.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000150017.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000150168.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000150195.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000150936.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000151112.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000151982.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000152582.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000152734.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000153344.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000153466.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000153530.1,gnl|BL_ORD_ID|930,gb|BAB36671.1|ARO:3000832|evgA [Escherichia coli O157:H7 str. Sakai] ,23.83,92.34,1.44707e-15,Weak,Possible
WP_000153540.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000154116.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000154162.1,gnl|BL_ORD_ID|443,gb|AAV85982.1|ARO:3000535|macB [Neisseria gonorrhoeae] ,40.72,87.7,3.63878e-53,Strong,Yes
WP_000154228.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000154465.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000154515.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000154559.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000154914.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000155386.1,gnl|BL_ORD_ID|443,gb|AAV85982.1|ARO:3000535|macB [Neisseria gonorrhoeae] ,30.7,79.72,1.31939e-27,Weak,Possible
WP_000157345.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000157603.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000157629.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000157650.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000158374.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000158433.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000159025.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000159034.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000159577.1,No Hit,No AMR Match,0.0,0.0,-,None,No
